"timestamp","source","message","level"
"2025-04-22T16:37:15.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Link LOST            PON 0/7 ONU 21 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:15.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Deregister           PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68 ..","3"
"2025-04-22T16:37:15.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Register             PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:15.349Z","10.252.1.12","dhcp,info dhcp-Users deassigned 10.5.51.243 from C8:4F:86:1C:00:EB","-1"
"2025-04-22T16:37:15.439Z","10.252.1.12","dhcp,info dhcp-Users assigned 10.5.51.243 to C8:4F:86:1C:00:EB","-1"
"2025-04-22T16:37:16.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:16.405Z","10.220.4.1","hotspot,info,debug 70:A5:6A:B0:43:7D (10.5.50.50): trying to log in by mac","-1"
"2025-04-22T16:37:16.425Z","10.220.4.1","hotspot,account,info,debug 70:A5:6A:B0:43:7D (10.5.50.50): logged in","-1"
"2025-04-22T16:37:16.457Z","10.252.1.12","script,info ONU LineID: 0:a1:7:b6:41:cc with User Device MAC: C8:4F:86:1C:00:EB connected.","-1"
"2025-04-22T16:37:16.498Z","10.220.4.1","fetch,info Download from 10.181.4.6 FINISHED","-1"
"2025-04-22T16:37:16.510Z","10.252.1.46","dhcp,info dhcp-Users assigned 10.53.2.58 for B0:BE:76:05:65:83 TL-WR841N","-1"
"2025-04-22T16:37:16.512Z","10.252.1.12","script,info ONU LineID: 0:a1:7:b6:41:cc with User Device MAC: C8:4F:86:1C:00:EB connected.","-1"
"2025-04-22T16:37:16.602Z","10.252.1.12","system,info,account user backoffice logged in from 10.181.4.6 via api","-1"
"2025-04-22T16:37:16.610Z","10.252.1.12","system,info,account user backoffice logged out from 10.181.4.6 via api","-1"
"2025-04-22T16:37:16.618Z","10.252.1.46","script,info ONU LineID: c8:50:e9:c5:fa:b2 with User Device MAC: B0:BE:76:05:65:83 connected.","-1"
"2025-04-22T16:37:17.000Z","TK_AZ-OLT_KV02","TK_AZ-OLT_KV02 auditd[0]: ONU Link Event           PON 0/7 ONU 1 54:93:59:08:21:83 Errored Symbol Period.","3"
"2025-04-22T16:37:17.000Z","TK_AZ-OLT_KV03","TK_AZ-OLT_KV03 auditd[0]: ONU Deregister           PON 0/4 ONU 7 llid 20 4C:D7:C8:2B:7B:AA MPCP TIMEOUT..","3"
"2025-04-22T16:37:17.000Z","TK_AZ-OLT_PP08","TK_AZ-OLT_PP08 auditd[0]: ONU Register             PON 0/7 ONU 21 llid 48 00:6D:61:DB:C2:68..","3"
"2025-04-22T16:37:17.071Z","10.252.1.46","script,info Found existing ACTIVE user for LineID: c8:50:e9:c5:fa:b2, MAC: B0:BE:76:05:65:83, checking user","-1"
"2025-04-22T16:37:17.166Z","10.252.1.46","hotspot,info,debug B0:BE:76:05:65:83 (10.53.2.58): trying to log in by mac","-1"
"2025-04-22T16:37:17.167Z","10.252.1.46","hotspot,account,info,debug B0:BE:76:05:65:83 (10.53.2.58): logged in","-1"
"2025-04-22T16:37:17.217Z","10.252.1.46","fetch,info Download from 10.181.4.6 FINISHED","-1"
"2025-04-22T16:37:17.223Z","10.252.1.24","system,info,account user backoffice logged in from 10.181.4.6 via api","-1"
"2025-04-22T16:37:17.542Z","10.252.1.12","script,info API Call made for: 0:a1:7:b6:41:cc with User Device MAC: C8:4F:86:1C:00:EB","-1"
